Code,Name,Description,,,,,
1422,NCHG,Application Processing For Fees,,,,,
2048,NCHG,Service Charges Debit,,,,,
2200,NCHG,ATM. Fee Mnemonic,,,,,
2400,NCHG,service charge transfer-In,,,,,
2512,NCHG,Service Charge Capitalization,,,,,
2614,NCHG,TBS. Fee Mnemonic,,,,,
2621,NCHG,Fax Fee online posting,,,,,
2627,NCHG,Miscellaneous Customer Credit - Fee Levy,,,,,
2650,NCHG,POS. Fee Mnemonic,,,,,
2651,NCHG,POS. Discount Fee Mnemonic,,,,,
2805,NCHG,Trust Loan Repayment/Fee Accrual Debit,,,,,
2806,NCHG,Trust Loan Repayment/Fee Accrual Credit,,,,,
2807,NCHG,Trust Fee Receipt Debit,,,,,
2808,NCHG,Trust Fee Receipt Credit,,,,,
2914,NCHG,IB. Fee Mnemonic,,,,,
3040,NCHG,LN. Interest Charged Debit,,,,,
3048,NCHG,Reverse Service Charges Debit,,,,,
3050,NCHG,LN. Penalty Interest Charged Debit,,,,,
3052,NCHG,Biaya asuransi/Insurance Bill,,,,,
3053,NCHG,CASA. Outgoing Billing,,,,,
3054,NCHG,Biaya notaris/Legal Fees Bill,,,,,
3080,NCHG,LN. Fee/SC. Debit,,,,,
3085,NCHG,Fees Arrear Appropriation,,,,,
3086,NCHG,Susp Fees Arrear Appropriation,,,,,
3090,NCHG,LN. Interest Charged Debit,,,,,
3100,NCHG,LN. Susp. Interest Charged Debit,,,,,
3114,NCHG,TD. Service Charge,,,,,
3320,NCHG,LN. UI. Charged Debit,,,,,
3330,NCHG,LN. Susp. UI. Charged Debit,,,,,
3750,NCHG,LN. Writeoff Susp Fee Debit,,,,,
3780,NCHG,LN. Legal Fees Writeoff,,,,,
4067,NCHG,Fees Arrear Capitalization,,,,,
4068,NCHG,Susp Fees Arrear Capitalization,,,,,
4090,NCHG,LN. Fee Writeoff,,,,,
4261,NCHG,LN. Comp. Interest Charge Computed,,,,,
4280,NCHG,LN. Penalty Interest Accrual/Charge,,,,,
4310,NCHG,LN. Interest Charged,,,,,
4341,NCHG,LN. Disb. Comp. Susp. Charge Computed,,,,,
4522,NCHG,LN. Charge Waiver,,,,,
5003,NCHG,Service Charges Debit,,,,,
5005,NCHG,Service Charge Capitalization,,,,,
5011,NCHG,DAUD. Service Charge,,,,,
5012,NCHG,DAUD. And TOD. Returnable Cheque Charge,,,,,
5013,NCHG,TOD. Service Charge,,,,,
5014,NCHG,Scan Pass Service Charge,,,,,
6408,NCHG,Charge Slip,,,,,
